company_name,yes_percentage,no_percentage
arag,83.78378378378379,7.6053442959917765
axa,37.5,52.28758169934641
barmenia,55.00000000000001,35.294117647058826
dkv,44.06779661016949,44.782642030207775
ergo,74.13793103448276,15.778019586507073
generali,59.11949685534591,29.8001787722384
huk-coburg,42.934782608695656,46.268799693457225
r+v,52.604166666666664,37.2029639724044
sdk,46.808510638297875,35.50921728618918
signal_iduna_group,56.00000000000001,34.375
Overall,52.77078085642317,47.22921914357683
